idx,Dataset,Feature Calculator,Feature Level,Number Of Removed Links,Number Of Correct Suggestions,AUC,Number Of Correct Suggestions By OCC,AUC By OCC
7,Datasets.Polblogs,Feature_Calculator_Enum.Local_Naive_Bayes_based_Common_Neighbor,Feature_Level_Enum.Level_2,,,exception,,
7,Datasets.Polblogs,Feature_Calculator_Enum.Local_Naive_Bayes_based_Common_Neighbor,Feature_Level_Enum.Level_1_And_2,,,exception,,
7,Datasets.Polblogs,Feature_Calculator_Enum.Node_and_Link_Clustering_Coefficient,Feature_Level_Enum.Level_1,,,exception,,
7,Datasets.Polblogs,Feature_Calculator_Enum.Node_and_Link_Clustering_Coefficient,Feature_Level_Enum.Level_2,,,exception,,
7,Datasets.Polblogs,Feature_Calculator_Enum.Node_and_Link_Clustering_Coefficient,Feature_Level_Enum.Level_1_And_2,,,exception,,
7,Datasets.Polblogs,Feature_Calculator_Enum.CAR,Feature_Level_Enum.Level_1,,,exception,,
7,Datasets.Polblogs,Feature_Calculator_Enum.CAR,Feature_Level_Enum.Level_2,,,exception,,
7,Datasets.Polblogs,Feature_Calculator_Enum.CAR,Feature_Level_Enum.Level_1_And_2,,,exception,,
8,Datasets.Polblogs,Feature_Calculator_Enum.Common_Neighbor,Feature_Level_Enum.Level_1,,,exception,,
8,Datasets.Polblogs,Feature_Calculator_Enum.Common_Neighbor,Feature_Level_Enum.Level_2,,,exception,,
8,Datasets.Polblogs,Feature_Calculator_Enum.Common_Neighbor,Feature_Level_Enum.Level_1_And_2,,,exception,,
8,Datasets.Polblogs,Feature_Calculator_Enum.Preferential_Attachment,Feature_Level_Enum.Level_1,,,exception,,
8,Datasets.Polblogs,Feature_Calculator_Enum.Preferential_Attachment,Feature_Level_Enum.Level_2,,,exception,,
8,Datasets.Polblogs,Feature_Calculator_Enum.Preferential_Attachment,Feature_Level_Enum.Level_1_And_2,,,exception,,
8,Datasets.Polblogs,Feature_Calculator_Enum.Resource_Allocation,Feature_Level_Enum.Level_1,,,exception,,
8,Datasets.Polblogs,Feature_Calculator_Enum.Resource_Allocation,Feature_Level_Enum.Level_2,,,exception,,
8,Datasets.Polblogs,Feature_Calculator_Enum.Resource_Allocation,Feature_Level_Enum.Level_1_And_2,,,exception,,
8,Datasets.Polblogs,Feature_Calculator_Enum.Adamic_Adar,Feature_Level_Enum.Level_1,,,exception,,
8,Datasets.Polblogs,Feature_Calculator_Enum.Adamic_Adar,Feature_Level_Enum.Level_2,,,exception,,
8,Datasets.Polblogs,Feature_Calculator_Enum.Adamic_Adar,Feature_Level_Enum.Level_1_And_2,,,exception,,
8,Datasets.Polblogs,Feature_Calculator_Enum.Jaccard,Feature_Level_Enum.Level_1,,,exception,,
8,Datasets.Polblogs,Feature_Calculator_Enum.Jaccard,Feature_Level_Enum.Level_2,,,exception,,
8,Datasets.Polblogs,Feature_Calculator_Enum.Jaccard,Feature_Level_Enum.Level_1_And_2,,,exception,,
8,Datasets.Polblogs,Feature_Calculator_Enum.Clustering_Coefficient,Feature_Level_Enum.Level_1,,,exception,,
8,Datasets.Polblogs,Feature_Calculator_Enum.Clustering_Coefficient,Feature_Level_Enum.Level_2,,,exception,,
8,Datasets.Polblogs,Feature_Calculator_Enum.Clustering_Coefficient,Feature_Level_Enum.Level_1_And_2,,,exception,,
8,Datasets.Polblogs,Feature_Calculator_Enum.Local_Naive_Bayes_based_Common_Neighbor,Feature_Level_Enum.Level_1,,,exception,,
8,Datasets.Polblogs,Feature_Calculator_Enum.Local_Naive_Bayes_based_Common_Neighbor,Feature_Level_Enum.Level_2,,,exception,,
8,Datasets.Polblogs,Feature_Calculator_Enum.Local_Naive_Bayes_based_Common_Neighbor,Feature_Level_Enum.Level_1_And_2,,,exception,,
8,Datasets.Polblogs,Feature_Calculator_Enum.Node_and_Link_Clustering_Coefficient,Feature_Level_Enum.Level_1,,,exception,,
8,Datasets.Polblogs,Feature_Calculator_Enum.Node_and_Link_Clustering_Coefficient,Feature_Level_Enum.Level_2,,,exception,,
8,Datasets.Polblogs,Feature_Calculator_Enum.Node_and_Link_Clustering_Coefficient,Feature_Level_Enum.Level_1_And_2,,,exception,,
8,Datasets.Polblogs,Feature_Calculator_Enum.CAR,Feature_Level_Enum.Level_1,,,exception,,
8,Datasets.Polblogs,Feature_Calculator_Enum.CAR,Feature_Level_Enum.Level_2,,,exception,,
8,Datasets.Polblogs,Feature_Calculator_Enum.CAR,Feature_Level_Enum.Level_1_And_2,,,exception,,
9,Datasets.Polblogs,Feature_Calculator_Enum.Common_Neighbor,Feature_Level_Enum.Level_1,,,exception,,
9,Datasets.Polblogs,Feature_Calculator_Enum.Common_Neighbor,Feature_Level_Enum.Level_2,,,exception,,
9,Datasets.Polblogs,Feature_Calculator_Enum.Common_Neighbor,Feature_Level_Enum.Level_1_And_2,,,exception,,
9,Datasets.Polblogs,Feature_Calculator_Enum.Preferential_Attachment,Feature_Level_Enum.Level_1,,,exception,,
9,Datasets.Polblogs,Feature_Calculator_Enum.Preferential_Attachment,Feature_Level_Enum.Level_2,,,exception,,
9,Datasets.Polblogs,Feature_Calculator_Enum.Preferential_Attachment,Feature_Level_Enum.Level_1_And_2,,,exception,,
9,Datasets.Polblogs,Feature_Calculator_Enum.Resource_Allocation,Feature_Level_Enum.Level_1,,,exception,,
9,Datasets.Polblogs,Feature_Calculator_Enum.Resource_Allocation,Feature_Level_Enum.Level_2,,,exception,,
9,Datasets.Polblogs,Feature_Calculator_Enum.Resource_Allocation,Feature_Level_Enum.Level_1_And_2,,,exception,,
9,Datasets.Polblogs,Feature_Calculator_Enum.Adamic_Adar,Feature_Level_Enum.Level_1,,,exception,,
9,Datasets.Polblogs,Feature_Calculator_Enum.Adamic_Adar,Feature_Level_Enum.Level_2,,,exception,,
9,Datasets.Polblogs,Feature_Calculator_Enum.Adamic_Adar,Feature_Level_Enum.Level_1_And_2,,,exception,,
9,Datasets.Polblogs,Feature_Calculator_Enum.Jaccard,Feature_Level_Enum.Level_1,,,exception,,
9,Datasets.Polblogs,Feature_Calculator_Enum.Jaccard,Feature_Level_Enum.Level_2,,,exception,,
9,Datasets.Polblogs,Feature_Calculator_Enum.Jaccard,Feature_Level_Enum.Level_1_And_2,,,exception,,
9,Datasets.Polblogs,Feature_Calculator_Enum.Clustering_Coefficient,Feature_Level_Enum.Level_1,,,exception,,
9,Datasets.Polblogs,Feature_Calculator_Enum.Clustering_Coefficient,Feature_Level_Enum.Level_2,,,exception,,
9,Datasets.Polblogs,Feature_Calculator_Enum.Clustering_Coefficient,Feature_Level_Enum.Level_1_And_2,,,exception,,
9,Datasets.Polblogs,Feature_Calculator_Enum.Local_Naive_Bayes_based_Common_Neighbor,Feature_Level_Enum.Level_1,,,exception,,
9,Datasets.Polblogs,Feature_Calculator_Enum.Local_Naive_Bayes_based_Common_Neighbor,Feature_Level_Enum.Level_2,,,exception,,
9,Datasets.Polblogs,Feature_Calculator_Enum.Local_Naive_Bayes_based_Common_Neighbor,Feature_Level_Enum.Level_1_And_2,,,exception,,
9,Datasets.Polblogs,Feature_Calculator_Enum.Node_and_Link_Clustering_Coefficient,Feature_Level_Enum.Level_1,,,exception,,
9,Datasets.Polblogs,Feature_Calculator_Enum.Node_and_Link_Clustering_Coefficient,Feature_Level_Enum.Level_2,,,exception,,
9,Datasets.Polblogs,Feature_Calculator_Enum.Node_and_Link_Clustering_Coefficient,Feature_Level_Enum.Level_1_And_2,,,exception,,
9,Datasets.Polblogs,Feature_Calculator_Enum.CAR,Feature_Level_Enum.Level_1,,,exception,,
9,Datasets.Polblogs,Feature_Calculator_Enum.CAR,Feature_Level_Enum.Level_2,,,exception,,
9,Datasets.Polblogs,Feature_Calculator_Enum.CAR,Feature_Level_Enum.Level_1_And_2,,,exception,,
